1.00	132.00	218.96	-58.34	0.00			
1.00	133.00	232.09	-58.86	0.00			
1.00	134.00	245.48	-59.29	0.00			
1.00	135.00	259.12	-59.61	0.00			
1.00	136.00	273.01	-59.84	0.00			
1.00	137.00	287.11	-59.97	0.00			
1.00	138.00	301.43	-60.01	0.00			
1.00	139.00	315.94	-59.95	0.00			
1.00	140.00	330.63	-59.80	0.00			
1.00	141.00	345.49	-59.56	0.00			
1.00	142.00	360.50	-59.23	0.00			
1.00	143.00	375.66	-58.82	0.00			
1.00	144.00	390.93	-58.33	0.00			
1.00	145.00	406.31	-57.76	0.00			
1.00	146.00	421.78	-57.11	0.00			
1.00	147.00	437.33	-56.39	0.00			
1.00	148.00	452.95	-55.60	0.00			
1.00	149.00	468.61	-54.75	0.00			
1.00	150.00	484.30	-53.84	0.00			
1.00	151.00	500.00	-52.86	0.00			
1.00	152.00	515.71	-51.83	0.00			
1.00	153.00	531.40	-50.75	0.00			
1.00	154.00	547.05	-49.63	0.00			
1.00	155.00	562.67	-48.46	0.00			
1.00	156.00	578.22	-47.24	0.00			
1.00	157.00	593.69	-45.99	0.00			
1.00	158.00	609.07	-44.71	0.00			
1.00	159.00	624.35	-43.39	0.00			
1.00	160.00	639.50	-42.05	0.00			
1.00	161.00	654.51	-40.69	0.00			
1.00	162.00	669.37	-39.30	0.00			
1.00	163.00	684.06	-37.90	0.00			
1.00	164.00	698.57	-36.48	0.00			
1.00	165.00	712.89	-35.05	0.00			
1.00	166.00	727.00	-33.61	0.00			
1.00	167.00	740.88	-32.17	0.00			
1.00	168.00	754.52	-30.72	0.00			
1.00	169.00	767.91	-29.28	0.00			
1.00	170.00	781.04	-27.84	0.00			
1.00	171.00	793.89	-26.41	0.00			
1.00	172.00	806.45	-24.98	0.00			
1.00	173.00	818.71	-23.57	0.00			
1.00	174.00	830.66	-22.17	0.00			
1.00	175.00	842.27	-20.80	0.00			
1.00	176.00	853.55	-19.44	0.00			
1.00	177.00	864.48	-18.11	0.00			
1.00	178.00	875.06	-16.80	0.00			
1.00	179.00	885.26	-15.52	0.00			
1.00	180.00	895.08	-14.28	0.00			
1.00	181.00	904.51	-13.07	0.00			
1.00	182.00	913.54	-11.90	0.00			
1.00	183.00	922.16	-10.77	0.00			
1.00	184.00	930.37	-9.68	0.00			
1.00	185.00	938.15	-8.64	0.00			
1.00	186.00	945.50	-7.65	0.00			
1.00	187.00	952.41	-6.71	0.00			
1.00	188.00	958.88	-5.82	0.00			
1.00	189.00	964.89	-4.99	0.00			
1.00	190.00	970.44	-4.22	0.00			
1.00	191.00	975.53	-3.50	0.00			
1.00	192.00	980.15	-2.85	0.00			
1.00	193.00	984.29	-2.26	0.00			
1.00	194.00	987.96	-1.74	0.00			
1.00	195.00	991.14	-1.28	0.00			
1.00	196.00	993.84	-0.89	0.00			
1.00	197.00	996.06	-0.57	0.00			
1.00	198.00	997.78	-0.32	0.00			
1.00	199.00	999.01	-0.14	0.00			
1.00	200.00	999.75	-0.04	0.00			
1.00	201.00	1000.00	0.00	0.00			
